[STEP   52] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v TRI | Bloq:0 | PileSize:5
[STEP   53] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v BAB | Bloq:1 | PileSize:5
[STEP   54] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v BAB | Bloq:0 | PileSize:5
[STEP   55] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v TRI | Bloq:1 | PileSize:5
[STEP   56] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v TRI | Bloq:0 | PileSize:5
[STEP   57] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v BAB | Bloq:1 | PileSize:5
[STEP   58] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v BAB | Bloq:0 | PileSize:5
[STEP   59] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v TRI | Bloq:1 | PileSize:5
[STEP   60] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v TRI | Bloq:0 | PileSize:5
[STEP   61] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v BAB | Bloq:1 | PileSize:5
[STEP   62] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v BAB | Bloq:0 | PileSize:5
[STEP   63] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v TRI | Bloq:1 | PileSize:5
[STEP   64] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v TRI | Bloq:0 | PileSize:5
[STEP   65] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v BAB | Bloq:1 | PileSize:5
[STEP   66] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v BAB | Bloq:0 | PileSize:5
[STEP   67] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v TRI | Bloq:1 | PileSize:5
[STEP   68] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v TRI | Bloq:0 | PileSize:5
[STEP   69] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v BAB | Bloq:1 | PileSize:5
[STEP   70] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v BAB | Bloq:0 | PileSize:5
[STEP   71] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v TRI | Bloq:1 | PileSize:5
[STEP   72] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v TRI | Bloq:0 | PileSize:5
[STEP   73] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v BAB | Bloq:1 | PileSize:5
[STEP   74] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v BAB | Bloq:0 | PileSize:5
[STEP   75] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v TRI | Bloq:1 | PileSize:5
[STEP   76] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v TRI | Bloq:0 | PileSize:5
[STEP   77] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v BAB | Bloq:1 | PileSize:5
[STEP   78] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v BAB | Bloq:0 | PileSize:5
[STEP   79] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v TRI | Bloq:1 | PileSize:5
[STEP   80] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v TRI | Bloq:0 | PileSize:5
[STEP   81] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v BAB | Bloq:1 | PileSize:5
[STEP   82] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v BAB | Bloq:0 | PileSize:5
[STEP   83] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v TRI | Bloq:1 | PileSize:5
[STEP   84] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v TRI | Bloq:0 | PileSize:5
[STEP   85] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v BAB | Bloq:1 | PileSize:5
[STEP   86] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v BAB | Bloq:0 | PileSize:5
[STEP   87] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v TRI | Bloq:1 | PileSize:5
[STEP   88] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v TRI | Bloq:0 | PileSize:5
[STEP   89] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v BAB | Bloq:1 | PileSize:5
[STEP   90] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v BAB | Bloq:0 | PileSize:5
[STEP   91] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v TRI | Bloq:1 | PileSize:5
[STEP   92] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v TRI | Bloq:0 | PileSize:5
[STEP   93] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v BAB | Bloq:1 | PileSize:5
[STEP   94] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v BAB | Bloq:0 | PileSize:5
[STEP   95] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v TRI | Bloq:1 | PileSize:5
[STEP   96] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v TRI | Bloq:0 | PileSize:5
[STEP   97] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v BAB | Bloq:1 | PileSize:5
[STEP   98] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v BAB | Bloq:0 | PileSize:5
[STEP   99] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v TRI | Bloq:1 | PileSize:5
[STEP  100] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v TRI | Bloq:0 | PileSize:5
[STEP  101] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v BAB | Bloq:1 | PileSize:5
[STEP  102] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v BAB | Bloq:0 | PileSize:5
[STEP  103] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v TRI | Bloq:1 | PileSize:5
[STEP  104] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v TRI | Bloq:0 | PileSize:5
[STEP  105] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v BAB | Bloq:1 | PileSize:5
